star,release_time,score,name,pic
"
                主演：张国荣,林青霞,梁朝伟
        ",上映时间：1993-02-05(中国香港),8.9,射雕英雄传之东成西就,http://p1.meituan.net/movie/53b6f0b66882a53b08896c92076515a8236400.jpg@160w_220h_1e_1c
"
                主演：刘德华,梁朝伟,黄秋生
        ",上映时间：2003-09-05,9.1,无间道,http://p1.meituan.net/movie/__42975419__9836378.jpg@160w_220h_1e_1c
"
                主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇
        ",上映时间：1998-06-01(美国),8.9,楚门的世界,http://p0.meituan.net/movie/84/3686822.jpg@160w_220h_1e_1c
"
                主演：克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特
        ",上映时间：2008-07-18(美国),9.3,蝙蝠侠：黑暗骑士,http://p1.meituan.net/movie/75bd869f7224871c5ebf781720cf456e117189.jpg@160w_220h_1e_1c
"
                主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿
        ",上映时间：1974-12-12(美国),9.0,教父2,http://p0.meituan.net/movie/4/9978669.jpg@160w_220h_1e_1c
"
                主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒
        ",上映时间：2003-04-25,9.1,指环王2：双塔奇兵,http://p0.meituan.net/movie/e3285cf6ed5395777433e8be5fd0078087787.jpg@160w_220h_1e_1c
"
                主演：张国荣,张曼玉,刘德华
        ",上映时间：1990-12-15(中国香港),8.8,阿飞正传,http://p0.meituan.net/movie/75/9117168.jpg@160w_220h_1e_1c
"
                主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林
        ",上映时间：2008-06-27(美国),9.3,机器人总动员,http://p0.meituan.net/movie/53/930936.jpg@160w_220h_1e_1c
"
                主演：葛优,巩俐,牛犇
        ",上映时间：1994-05-18(法国),9.0,活着,http://p0.meituan.net/movie/53/1819401.jpg@160w_220h_1e_1c
"
                主演：菲利浦·诺瓦雷,塞吉·卡斯特里图,蒂兹亚娜·罗达托
        ",上映时间：1988-11-17(意大利),9.2,天堂电影院,http://p0.meituan.net/movie/11/295014.jpg@160w_220h_1e_1c
"
                主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔
        ",上映时间：1998-07-24(美国),8.9,拯救大兵瑞恩,http://p0.meituan.net/movie/32/595031.jpg@160w_220h_1e_1c
"
                主演：倍赏千惠子,木村拓哉,美轮明宏
        ",上映时间：2004-11-20(日本),9.0,哈尔的移动城堡,http://p0.meituan.net/movie/__42975603__8516905.jpg@160w_220h_1e_1c
"
                主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特
        ",上映时间：2010-09-01,9.2,盗梦空间,http://p1.meituan.net/movie/4faf9749d2014b7cc94331a38d848f99132123.jpg@160w_220h_1e_1c
"
                主演：爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特
        ",上映时间：1999-10-15(美国),8.8,搏击俱乐部,http://p1.meituan.net/movie/c5e76795bf7a78b12a2ffabb4a0c5c11112921.jpg@160w_220h_1e_1c
"
                主演：松田洋治,石田百合子,田中裕子
        ",上映时间：1997-07-12(日本),8.9,幽灵公主,http://p0.meituan.net/movie/9/1476994.jpg@160w_220h_1e_1c
"
                主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹
        ",上映时间：2010-01-04,9.0,阿凡达,http://p0.meituan.net/movie/54/868271.jpg@160w_220h_1e_1c
"
                主演：Forest,理查·基尔,琼·艾伦
        ",上映时间：2010-03-12(英国),9.3,忠犬八公的故事,http://p0.meituan.net/movie/d54305f773c25fd0e4070249c3eccb83112381.jpg@160w_220h_1e_1c
"
                主演：张国荣,林青霞,梁朝伟
        ",上映时间：1994-09-17,8.9,东邪西毒,http://p0.meituan.net/movie/75b308e3a8e4f691d29cb45f84d7b5c4104321.jpg@160w_220h_1e_1c
"
                主演：岛本须美,永井一郎,坂本千夏
        ",上映时间：1992,8.9,风之谷,http://p0.meituan.net/movie/77/5392065.jpg@160w_220h_1e_1c
"
                主演：杰拉尔·朱诺,尚-巴堤·莫里耶,玛丽·布奈尔
        ",上映时间：2004-10-16,8.9,放牛班的春天,http://p0.meituan.net/movie/__38288284__4749195.jpg@160w_220h_1e_1c
"
                主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞
        ",上映时间：2006-03-17(美国),8.8,V字仇杀队,http://p0.meituan.net/movie/57/5832292.jpg@160w_220h_1e_1c
"
                主演：威尔·史密斯,贾登·史密斯,桑迪·牛顿
        ",上映时间：2008-01-17,8.9,当幸福来敲门,http://p0.meituan.net/movie/50/821132.jpg@160w_220h_1e_1c
"
                主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯
        ",上映时间：2003-11-05,8.8,黑客帝国3：矩阵革命,http://p1.meituan.net/movie/0f9f10b52df5bf346632353d6600e00b133155.jpg@160w_220h_1e_1c
"
                主演：亨利·方达,李·科布,马丁·鲍尔萨姆
        ",上映时间：1957-04-13(美国),9.1,十二怒汉,http://p0.meituan.net/movie/86/2992612.jpg@160w_220h_1e_1c
"
                主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉
        ",上映时间：1995-05-24(美国),8.8,勇敢的心,http://p0.meituan.net/movie/16/2004356.jpg@160w_220h_1e_1c
"
                主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹
        ",上映时间：2013-04-20,9.5,疯狂原始人,http://p0.meituan.net/movie/__7457113__8454111.jpg@160w_220h_1e_1c
"
                主演：阿米尔·汗,黄渤,卡琳娜·卡普
        ",上映时间：2011-12-08,9.1,三傻大闹宝莱坞,http://p0.meituan.net/movie/44/43.jpg@160w_220h_1e_1c
"
                主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉
        ",上映时间：2010-05-14,9.0,驯龙高手,http://p0.meituan.net/movie/44/637726.jpg@160w_220h_1e_1c
"
                主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德
        ",上映时间：2010-07-09(美国),9.0,神偷奶爸,http://p0.meituan.net/movie/41/529773.jpg@160w_220h_1e_1c
"
                主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森
        ",上映时间：2009-08-04,8.9,飞屋环游记,http://p0.meituan.net/movie/62/499239.jpg@160w_220h_1e_1c
"
                主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯
        ",上映时间：2006-01-13(美国),9.0,断背山,http://p0.meituan.net/movie/19/9277847.jpg@160w_220h_1e_1c
"
                主演：范·迪塞尔,保罗·沃克,道恩·强森
        ",上映时间：2011-05-12,9.2,速度与激情5,http://p0.meituan.net/movie/30/380718.jpg@160w_220h_1e_1c
"
                主演：苏拉·沙玛,伊尔凡·可汗,塔布
        ",上映时间：2012-11-22,9.1,少年派的奇幻漂流,http://p0.meituan.net/movie/95/985283.jpg@160w_220h_1e_1c
"
                主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔
        ",上映时间：1992-12-23(美国),8.8,闻香识女人,http://p0.meituan.net/movie/67/8094010.jpg@160w_220h_1e_1c
"
                主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩
        ",上映时间：2006-10-20(美国),8.8,致命魔术,http://p0.meituan.net/movie/12/2130469.jpg@160w_220h_1e_1c
"
                主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因
        ",上映时间：2010-08-06(美国),8.9,怦然心动,http://p0.meituan.net/movie/17/6995038.jpg@160w_220h_1e_1c
"
                主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森
        ",上映时间：1975-11-19(美国),8.8,飞越疯人院,http://p0.meituan.net/movie/55/9750194.jpg@160w_220h_1e_1c
"
                主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯
        ",上映时间：2001-12-21(美国),8.8,美丽心灵,http://p0.meituan.net/movie/91/5305842.jpg@160w_220h_1e_1c
"
                主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文
        ",上映时间：1984-02-17(美国),9.1,美国往事,http://p0.meituan.net/movie/18/9569613.jpg@160w_220h_1e_1c
"
                主演：姜文,姜宏波,陈强
        ",上映时间：2000-05-12(法国戛纳),8.9,鬼子来了,http://p0.meituan.net/movie/d81e2aeecebce01472434b09b46bc56c136075.jpg@160w_220h_1e_1c
"
                主演：周星驰,莫文蔚,吴孟达
        ",上映时间：2014-10-24,9.6,大话西游之月光宝盒,http://p0.meituan.net/movie/7/2144189.jpg@160w_220h_1e_1c
"
                主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特
        ",上映时间：1994-11-11(美国),8.8,夜访吸血鬼,http://p0.meituan.net/movie/36/6065251.jpg@160w_220h_1e_1c
"
                主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼
        ",上映时间：2012-08-27,8.9,蝙蝠侠：黑暗骑士崛起,http://p1.meituan.net/movie/3fd701f5bfa9f8acddfe407949fd9104143897.jpg@160w_220h_1e_1c
"
                主演：约翰·C·赖利,萨拉·丝沃曼,简·林奇
        ",上映时间：2012-11-06,9.0,无敌破坏王,http://p0.meituan.net/movie/65/249948.jpg@160w_220h_1e_1c
"
                主演：阿德里安·布洛迪,艾米丽雅·福克斯,米乔·赞布罗斯基
        ",上映时间：2002-09-25(法国),8.8,钢琴家,http://p0.meituan.net/movie/36/7289043.jpg@160w_220h_1e_1c
"
                主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森
        ",上映时间：2011-08-04,9.0,哈利·波特与死亡圣器（下）,http://p0.meituan.net/movie/76/612928.jpg@160w_220h_1e_1c
"
                主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森
        ",上映时间：2008-12-25(美国),8.8,本杰明·巴顿奇事,http://p0.meituan.net/movie/48/2207789.jpg@160w_220h_1e_1c
"
                主演：张曼玉,林青霞,梁家辉
        ",上映时间：2012-02-24,8.8,新龙门客栈,http://p0.meituan.net/movie/94/94.jpg@160w_220h_1e_1c
"
                主演：黎明,张曼玉,曾志伟
        ",上映时间：2015-02-13,9.2,甜蜜蜜,http://p1.meituan.net/movie/1a8cde299375b74d0b8b3ad35b071480111623.jpg@160w_220h_1e_1c
"
                主演：张国荣,王祖贤,午马
        ",上映时间：2011-04-30,9.1,倩女幽魂,http://p0.meituan.net/movie/85/3966083.jpg@160w_220h_1e_1c
"
                主演：孔刘,郑有美,金智英
        ",上映时间：2011-09-22(韩国),8.8,熔炉,http://p0.meituan.net/movie/40/9791315.jpg@160w_220h_1e_1c
"
                主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考
        ",上映时间：2012-06-05,8.8,初恋这件小事,http://p0.meituan.net/movie/23/912567.jpg@160w_220h_1e_1c
"
                主演：弗朗索瓦·克鲁塞,奥马·希,安乐妮
        ",上映时间：2011-11-02(法国),9.1,触不可及,http://p0.meituan.net/movie/49/7621489.jpg@160w_220h_1e_1c
"
                主演：周星驰,朱茵,莫文蔚
        ",上映时间：2014-10-24,8.8,大话西游之大圣娶亲,http://p1.meituan.net/movie/28c727b5a79b8bdffe7d98e54a4d512f61385.jpg@160w_220h_1e_1c
"
                主演：李甄,薛景求,严智媛
        ",上映时间：2013-10-02(韩国),9.1,素媛,http://p1.meituan.net/movie/__28022955__8810277.jpg@160w_220h_1e_1c
"
                主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi
        ",上映时间：1999-01-22(美国),9.1,小鞋子,http://p0.meituan.net/movie/74/8352133.jpg@160w_220h_1e_1c
"
                主演：内山昂辉,佐仓绫音,Hiroki Gotô
        ",上映时间：2011-09-17(日本),9.0,萤火之森,http://p0.meituan.net/movie/51/8002255.jpg@160w_220h_1e_1c
"
                主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊
        ",上映时间：2013-09-04(英国),8.9,时空恋旅人,http://p0.meituan.net/movie/__18433373__7708791.jpg@160w_220h_1e_1c
"
                主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯
        ",上映时间：2008-09-12(英国),9.0,穿条纹睡衣的男孩,http://p0.meituan.net/movie/52/6711152.jpg@160w_220h_1e_1c
"
                主演：乌尔里希·穆埃,赛巴斯汀‧柯赫,马蒂娜·戈黛特
        ",上映时间：2006-03-23(德国),9.0,窃听风暴,http://p0.meituan.net/movie/2/6220032.jpg@160w_220h_1e_1c
"
                主演：柳承龙,郑进永,朴信惠
        ",上映时间：2013-01-23(韩国),8.9,7号房的礼物,http://p1.meituan.net/movie/cf09a7f134015c6429b2329e929d7611150403.jpg@160w_220h_1e_1c
"
                主演：志田未来,神木隆之介,大竹忍
        ",上映时间：2010-07-17(日本),8.8,借东西的小人阿莉埃蒂,http://p0.meituan.net/movie/49/4069944.jpg@160w_220h_1e_1c
"
                主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯
        ",上映时间：2009-07-31(美国),8.9,海豚湾,http://p0.meituan.net/movie/90/1810122.jpg@160w_220h_1e_1c
"
                主演：河正宇,李璟荣,权慧贞
        ",上映时间：2013-07-31(韩国),8.8,恐怖直播,http://p1.meituan.net/movie/729f8c8d8a5e4036e286a018de70d4ab119653.jpg@160w_220h_1e_1c
"
                主演：仲代达矢,春川真澄,井川比佐志
        ",上映时间：1987-08-01(日本),9.0,忠犬八公物语,http://p0.meituan.net/movie/15/9810061.jpg@160w_220h_1e_1c
"
                主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱昂德罗·弗米诺
        ",上映时间：2002-08-30(巴西),8.9,上帝之城,http://p0.meituan.net/movie/81/7736439.jpg@160w_220h_1e_1c
"
                主演：宋康昊,宋英昌,柳秀荣
        ",上映时间：2013-12-18(韩国),8.8,辩护人,http://p0.meituan.net/movie/f31af5ac93e3d59dc07cbf1a993484c5126335.jpg@160w_220h_1e_1c
"
                主演：三船敏郎,志村乔,千秋实
        ",上映时间：1954-04-26(日本),9.1,七武士,http://p0.meituan.net/movie/48/6478311.jpg@160w_220h_1e_1c
"
                主演：吴念真,金燕玲,李凯莉
        ",上映时间：2000-09-20(法国),8.9,一一,http://p0.meituan.net/movie/27/8877229.jpg@160w_220h_1e_1c
"
                主演：凯文·科斯特纳,克林特·伊斯特伍德,T.J.劳瑟
        ",上映时间：1993-11-24(美国),8.9,完美的世界,http://p0.meituan.net/movie/86/3880567.jpg@160w_220h_1e_1c
"
                主演：雅克·贝汉,姜文,兰斯洛特·贝汉
        ",上映时间：2011-08-12,9.0,海洋,http://p0.meituan.net/movie/11/391659.jpg@160w_220h_1e_1c
"
                主演：俞承豪,金艺芬,童孝熙
        ",上映时间：2002-04-05(韩国),9.0,爱·回家,http://p0.meituan.net/movie/67/1588237.jpg@160w_220h_1e_1c
"
                主演：克林特·伊斯特伍德,李·范·克里夫,伊莱·瓦拉赫
        ",上映时间：1966-12-23(意大利),8.9,黄金三镖客,http://p0.meituan.net/movie/17/3203826.jpg@160w_220h_1e_1c
"
                主演：宋在河,李顺才,尹秀晶
        ",上映时间：2011-02-17(韩国),9.0,我爱你,http://p0.meituan.net/movie/52/3420293.jpg@160w_220h_1e_1c
"
                主演：雅克·贝汉,菲利普·拉波洛,Philippe Labro
        ",上映时间：2001-12-12(法国),9.1,迁徙的鸟,http://p1.meituan.net/movie/__44335138__8470779.jpg@160w_220h_1e_1c
"
                主演：狄龙,张国荣,周润发
        ",上映时间：2017-11-17,9.2,英雄本色,http://p0.meituan.net/movie/5102b3f7261caa09c1c9b1212f09cc1f461902.png@160w_220h_1e_1c
